feature_idx,count,frequency,top_tokens
432,0,0.000000,
433,0,0.000000,
434,0,0.000000,
435,0,0.000000,
436,0,0.000000,
437,0,0.000000,
438,0,0.000000,
439,0,0.000000,
440,0,0.000000,
441,0,0.000000,
442,52,0.000052,"' distance'(48), ' distances'(4)"
443,0,0.000000,
444,31,0.000031,"' critics'(4), ' historians'(3), ' doctors'(1), ' symptoms'(1), ' rule'(1)"
445,340,0.000340,"' day'(233), ' Day'(107)"
446,0,0.000000,
447,0,0.000000,
448,0,0.000000,
449,23,0.000023,"' dorsal'(8), ' lateral'(7), ' anterior'(5), ' posterior'(3)"
450,0,0.000000,
451,0,0.000000,
452,0,0.000000,
453,2,0.000002,' succ'(2)
454,98,0.000098,"' Er'(33), ' Ber'(30), ' er'(15), ' Ger'(9), 'er'(5)"
455,0,0.000000,
456,0,0.000000,
457,0,0.000000,
458,0,0.000000,
459,0,0.000000,
460,0,0.000000,
461,0,0.000000,
462,0,0.000000,
463,0,0.000000,
464,0,0.000000,
465,0,0.000000,
466,0,0.000000,
467,0,0.000000,
468,0,0.000000,
469,0,0.000000,
470,0,0.000000,
471,0,0.000000,
472,0,0.000000,
473,167,0.000167,"'j'(144), ' j'(23)"
474,0,0.000000,
475,0,0.000000,
476,0,0.000000,
477,0,0.000000,
478,0,0.000000,
479,245,0.000245,"' order'(110), ' ordered'(48), ' Order'(42), ' orders'(34), ' ordering'(4)"
480,0,0.000000,
481,0,0.000000,
482,0,0.000000,
483,0,0.000000,
484,15,0.000015,"' and'(2), ' popular'(2), ' attracts'(1), ' many'(1), ' community'(1)"
485,117,0.000117,"' Se'(78), 'se'(20), ' se'(19)"
486,0,0.000000,
487,0,0.000000,
488,0,0.000000,
489,0,0.000000,
490,0,0.000000,
491,0,0.000000,
492,0,0.000000,
493,0,0.000000,
494,0,0.000000,
495,0,0.000000,
496,102,0.000102,"' recalled'(24), ' recalls'(15), ' forget'(12), ' remembered'(8), ' remember'(7)"
497,0,0.000000,
498,0,0.000000,
499,92,0.000092,"' economic'(59), ' economy'(15), ' Economic'(9), ' economically'(5), ' economics'(3)"
500,0,0.000000,
501,0,0.000000,
502,0,0.000000,
503,0,0.000000,
504,0,0.000000,
505,0,0.000000,
506,32,0.000032,"' dynamic'(21), ' static'(7), ' dynamically'(2), ' Dynamic'(2)"
507,0,0.000000,
508,1,0.000001,' her'(1)
509,0,0.000000,
510,0,0.000000,
511,0,0.000000,
512,0,0.000000,
513,0,0.000000,
514,18,0.000018,"' 2016'(16), ' 2019'(2)"
515,0,0.000000,
516,0,0.000000,
517,0,0.000000,
518,8,0.000008,"' it'(2), ' is'(2), ' the'(1), ' had'(1), ' will'(1)"
519,0,0.000000,
520,94,0.000094,' by'(94)
521,0,0.000000,
522,0,0.000000,
523,55,0.000055,"' ref'(31), 'ref'(16), ' Ref'(8)"
524,0,0.000000,
525,0,0.000000,
526,125,0.000125,"' critical'(81), ' Critical'(40), ' critically'(4)"
527,2,0.000002,"' of'(1), ' Old'(1)"
528,0,0.000000,
529,0,0.000000,
530,0,0.000000,
531,62752,0.062752,"' ='(7036), '>'(6367), 'unk'(5153), '-'(3089), ' @'(2159)"
532,5131,0.005131,"' time'(159), 's'(110), ' year'(94), ' end'(83), ' season'(78)"
533,0,0.000000,
534,0,0.000000,
535,0,0.000000,
536,0,0.000000,
537,266,0.000266,"' strong'(136), ' strongly'(26), ' weak'(25), ' stronger'(20), ' powerful'(17)"
538,0,0.000000,
539,0,0.000000,
540,0,0.000000,
541,0,0.000000,
542,0,0.000000,
543,0,0.000000,
544,0,0.000000,
545,0,0.000000,
546,0,0.000000,
547,28,0.000028,"' net'(15), 'net'(7), ' Net'(6)"
548,0,0.000000,
549,0,0.000000,
550,0,0.000000,
551,0,0.000000,
552,0,0.000000,
553,0,0.000000,
554,0,0.000000,
555,0,0.000000,
556,24,0.000024,"' buttons'(12), ' button'(11), ' Button'(1)"
557,0,0.000000,
558,0,0.000000,
559,0,0.000000,
560,0,0.000000,
561,113,0.000113,' out'(113)
562,0,0.000000,
563,0,0.000000,
564,0,0.000000,
565,0,0.000000,
566,0,0.000000,
567,0,0.000000,
568,0,0.000000,
569,0,0.000000,
570,154,0.000154,"' didn'(44), ' wasn'(26), ' doesn'(26), ' isn'(16), ' couldn'(14)"
571,0,0.000000,
572,0,0.000000,
573,0,0.000000,
574,0,0.000000,
575,52,0.000052,"' growth'(50), ' Growth'(2)"
576,0,0.000000,
577,0,0.000000,
578,0,0.000000,
579,0,0.000000,
580,0,0.000000,
581,0,0.000000,
582,0,0.000000,
583,0,0.000000,
584,0,0.000000,
585,211,0.000211,"' similar'(190), ' Similar'(15), ' analogous'(3), ' comparable'(3)"
586,0,0.000000,
587,0,0.000000,
588,0,0.000000,
